new,"[2065.8971821380032, 'JJ']"
duplic,"[12.63832266, 'JJ']"
laundri,"[12.63832266, 'JJ']"
honest,"[12.63832266, 'JJ']"
mark,"[12.63832266, 'JJ']"
emarket,"[12.63832266, 'JJ']"
heighten,"[12.63832266, 'JJ']"
underst,"[12.63832266, 'JJ']"
charact,"[12.63832266, 'JJ']"
workabl,"[12.63832266, 'JJ']"
correspond,"[12.634965878000001, 'JJ']"
http,"[12.605084465, 'JJ']"
guy,"[12.580270835, 'JJ']"
latter,"[12.376830598999998, 'JJR']"
experienc,"[12.338581317, 'JJ']"
websit,"[12.306405729999996, 'JJ']"
guid,"[12.248979090999999, 'JJ']"
exact,"[12.244725743, 'JJ']"
smoke,"[12.13114754, 'JJ']"
hunch,"[12.13114754, 'JJ']"
minut,"[12.13114754, 'JJ']"
brilliant,"[12.13114754, 'JJ']"
stranger,"[12.13114754, 'JJ']"
assist,"[12.13114754, 'JJ']"
dire,"[12.13114754, 'JJ']"
doubt,"[12.13114754, 'JJ']"
smash,"[12.13114754, 'JJ']"
command,"[12.13114754, 'JJ']"
transfer,"[12.13114754, 'JJ']"
flip,"[12.13114754, 'JJ']"
repeat,"[12.13114754, 'JJ']"
forex,"[12.074148005, 'JJ']"
contra,"[12.074148005, 'JJ']"
trust,"[11.965055673, 'JJ']"
rife,"[11.945594322, 'JJ']"
busier,"[11.92589932, 'JJR']"
wherea,"[11.92589932, 'JJ']"
goodwil,"[11.92589932, 'JJ']"
intrins,"[11.92589932, 'JJ']"
awesom,"[11.92589932, 'JJ']"
synergist,"[11.92589932, 'JJ']"
buoyant,"[11.92589932, 'JJ']"
prime,"[11.913398506, 'JJ']"
demograph,"[11.888315763000001, 'JJ']"
acceler,"[11.882242596, 'JJ']"
black,"[11.856008048000003, 'JJ']"
own,"[11.7450571, 'JJ']"
margin,"[11.663100462999996, 'JJ']"
greatest,"[11.642059807, 'JJS']"
final,"[11.587378561, 'JJ']"
mean,"[11.570108182999999, 'JJ']"
complex,"[11.523777609000007, 'JJ']"
slow,"[11.496031879999997, 'JJ']"
keen,"[11.446224567, 'JJ']"
parallel,"[11.317829458, 'JJ']"
uncommon,"[11.317829458, 'JJ']"
acknowledg,"[11.308865505, 'JJ']"
mr,"[11.17318436, 'JJ']"
imagereadi,"[11.17318436, 'JJ']"
biomed,"[11.17318436, 'JJ']"
fda,"[11.17318436, 'JJ']"
customiz,"[11.17318436, 'JJ']"
revis,"[11.145531158, 'JJ']"
upload,"[11.137535152, 'JJ']"
convinc,"[11.082549572, 'JJ']"
materi,"[11.080321542000002, 'JJ']"
unsubsid,"[11.025982340999999, 'JJ']"
satur,"[11.025982340999999, 'JJ']"
decent,"[10.915233331000001, 'JJ']"
modern,"[10.904035821, 'JJ']"
handi,"[10.865703496, 'JJ']"
answer,"[10.862175767, 'JJ']"
fierc,"[10.756403841000001, 'JJ']"
watch,"[10.755401526, 'JJ']"
dead,"[10.709711356, 'JJ']"
intrigu,"[10.667049324, 'JJ']"
firm,"[10.619642644999999, 'JJ']"
transap,"[10.5156724, 'JJ']"
efficaci,"[10.5156724, 'JJ']"
uninterrupt,"[10.5156724, 'JJ']"
stent,"[10.5156724, 'JJ']"
underserv,"[10.5156724, 'JJ']"
recruit,"[10.5156724, 'JJ']"
show,"[10.5156724, 'JJ']"
mild,"[10.5156724, 'JJ']"
compound,"[10.5156724, 'JJ']"
coronari,"[10.5156724, 'JJ']"
ask,"[10.5156724, 'JJ']"
disciplin,"[10.5156724, 'JJ']"
yay,"[10.5156724, 'JJ']"
diversifi,"[10.5156724, 'JJ']"
entrepreneuri,"[10.494011611, 'JJ']"
compat,"[10.364783548, 'JJ']"
arbitrari,"[10.24327902, 'JJ']"
mobil,"[10.138341429000153, 'JJ']"
upper,"[10.104132060000001, 'JJ']"
impact,"[10.080067941, 'JJ']"
attribut,"[10.044322057, 'JJ']"
facial,"[10.043582382, 'JJ']"
ad,"[10.032829704000003, 'JJ']"
bona,"[9.923988515, 'JJ']"
comput,"[9.901689198, 'JJ']"
read,"[9.836800229, 'JJ']"
airborn,"[9.780356404, 'JJ']"
uplift,"[9.773371105, 'JJ']"
su,"[9.773371105, 'JJ']"
q,"[9.773371105, 'JJ']"
qoq,"[9.773371105, 'JJ']"
cryptograph,"[9.773371105, 'JJ']"
tripl,"[9.773371105, 'JJ']"
committ,"[9.773371105, 'JJ']"
downsid,"[9.773371105, 'JJ']"
breakeven,"[9.773371105, 'JJ']"
imac,"[9.773371105, 'JJ']"
bull,"[9.773371105, 'JJ']"
redesign,"[9.773371105, 'JJ']"
unabl,"[9.769024637999998, 'JJ']"
call,"[9.710357225, 'JJ']"
pancreat,"[9.698996656, 'JJ']"
spinal,"[9.698996656, 'JJ']"
therapeut,"[9.698996656, 'JJ']"
pelvic,"[9.698996656, 'JJ']"
venous,"[9.698996656, 'JJ']"
10th,"[9.574589964000001, 'JJ']"
halo,"[9.518549204, 'JJ']"
begin,"[9.518549204, 'JJ']"
peski,"[9.518549204, 'JJ']"
legitim,"[9.471033872, 'JJ']"
generic,"[9.450183272, 'JJ']"
pen,"[9.419152275, 'JJ']"
frame,"[9.415584416, 'JJ']"
fickl,"[9.369764589999999, 'JJ']"
transpar,"[9.323574307, 'JJ']"
hope,"[9.323574307, 'JJ']"
cubic,"[9.306716907, 'JJ']"
driven,"[9.298250614999999, 'JJ']"
give,"[9.234643756, 'JJ']"
iphon,"[9.174445967, 'JJ']"
residu,"[9.163250542, 'JJ']"
pharmaceut,"[9.163250542, 'JJ']"
supplement,"[9.160890118000001, 'JJ']"
exist,"[9.142154323, 'JJ']"
enthusiast,"[9.128076741, 'JJ']"
amend,"[9.051630072000002, 'JJ']"
watt,"[9.007633588, 'JJ']"
point,"[9.007633588, 'JJ']"
nest,"[8.997815401, 'JJS']"
outright,"[8.997815401, 'JJ']"
round,"[8.997815401, 'JJ']"
synchron,"[8.997815401, 'JJ']"
americananalyst,"[8.997815401, 'JJ']"
errat,"[8.997815401, 'JJ']"
impuls,"[8.997815401, 'JJ']"
trustabl,"[8.958517211, 'JJ']"
lessen,"[8.958517211, 'JJ']"
head,"[8.958517211, 'JJ']"
hear,"[8.958517211, 'JJ']"
agil,"[8.958517211, 'JJ']"
analyz,"[8.958517211, 'JJ']"
rub1,"[8.958517211, 'JJ']"
flap,"[8.958517211, 'JJ']"
undertak,"[8.958517211, 'JJ']"
english,"[8.958517211, 'JJ']"
twofold,"[8.958517211, 'JJ']"
madam,"[8.958517211, 'JJ']"
unspoken,"[8.958517211, 'JJ']"
inlin,"[8.958517211, 'JJ']"
implement,"[8.958517211, 'JJ']"
downward,"[8.927988185999997, 'JJ']"
quest,"[8.86214442, 'JJS']"
question,"[8.86214442, 'JJ']"
chipper,"[8.86214442, 'JJ']"
ancillari,"[8.86214442, 'JJ']"
passion,"[8.86214442, 'JJ']"
commodit,"[8.838071693, 'JJ']"
cerebr,"[8.806985583, 'JJ']"
okay,"[8.806985583, 'JJ']"
interim,"[8.806985583, 'JJ']"
pain,"[8.741084267, 'JJ']"
beauti,"[8.627154915, 'JJ']"
enjoy,"[8.62278358, 'JJ']"
unround,"[8.62278358, 'JJ']"
cover,"[8.62278358, 'JJ']"
wait,"[8.62278358, 'JJ']"
anxious,"[8.62278358, 'JJ']"
rigor,"[8.609325718, 'JJ']"
multiyear,"[8.568019849, 'JJ']"
divers,"[8.510732875, 'JJ']"
autom,"[8.503955735, 'JJ']"
simpl,"[8.495744391000002, 'JJ']"
tri,"[8.461304048999999, 'JJ']"
clinician,"[8.434224415, 'JJ']"
reliant,"[8.416833668, 'JJ']"
tesla,"[8.337819572999999, 'JJ']"
terrif,"[8.268879045, 'JJ']"
becom,"[8.268879045, 'JJ']"
valid,"[8.229803783, 'JJ']"
anniversari,"[8.182446608, 'JJ']"
expand,"[8.18054316, 'JJ']"
present,"[8.074412020999999, 'JJ']"
algorithm,"[7.924036994, 'JJ']"
embol,"[7.91497451, 'JJ']"
deliber,"[7.91497451, 'JJ']"
baselin,"[7.91497451, 'JJ']"
elimin,"[7.762756215, 'JJ']"
rental,"[7.762756215, 'JJ']"
maiden,"[7.762756215, 'JJ']"
simplic,"[7.762756215, 'JJ']"
method,"[7.762756215, 'JJ']"
chrome,"[7.762756215, 'JJ']"
aim,"[7.762756215, 'JJ']"
calcul,"[7.762756215, 'JJ']"
alexand,"[7.762756215, 'JJ']"
broadcast,"[7.762756215, 'JJ']"
rent,"[7.762756215, 'JJ']"
unfinish,"[7.762756215, 'JJ']"
inter,"[7.762756215, 'JJ']"
qtrli,"[7.762756215, 'JJ']"
util,"[7.762756215, 'JJ']"
search,"[7.762756215, 'JJ']"
pedestrian,"[7.762756215, 'JJ']"
experi,"[7.762756215, 'JJ']"
spend,"[7.762756215, 'JJ']"
bit,"[7.762756215, 'JJ']"
brent,"[7.762756215, 'JJ']"
account,"[7.762756215, 'JJ']"
lookalik,"[7.762756215, 'JJ']"
mention,"[7.762756215, 'JJ']"
offrussian,"[7.762756215, 'JJ']"
rural,"[7.762756215, 'JJ']"
fun,"[7.713740033, 'JJ']"
sharpest,"[7.68018018, 'JJS']"
counteract,"[7.68018018, 'JJ']"
drove,"[7.68018018, 'JJ']"
reflect,"[7.68018018, 'JJ']"
optic,"[7.68018018, 'JJ']"
crowdsourc,"[7.68018018, 'JJ']"
overag,"[7.68018018, 'JJ']"
indoor,"[7.68018018, 'JJ']"
want,"[7.673548836, 'JJ']"
counter,"[7.666939009, 'JJ']"
lag,"[7.606764074999999, 'JJ']"
recur,"[7.553495100999999, 'JJ']"
enabl,"[7.534735707, 'JJ']"
epic,"[7.518296739, 'JJ']"
occasion,"[7.420307343999999, 'JJ']"
suitabl,"[7.360206522, 'JJ']"
critic,"[7.342175212000004, 'JJ']"
minor,"[7.330465525999998, 'JJ']"
empti,"[7.221109667, 'JJ']"
irrelev,"[7.208914729, 'JJ']"
defin,"[7.152954759, 'JJ']"
busi,"[7.107842015999999, 'JJ']"
quicker,"[7.074228455999999, 'JJR']"
handl,"[7.057935913, 'JJ']"
mexican,"[7.032127611, 'JJ']"
adam,"[6.980225601, 'JJ']"
agre,"[6.9706855789999995, 'JJ']"
internet,"[6.920527676999998, 'JJ']"
incid,"[6.914709944, 'JJ']"
archriv,"[6.914709944, 'JJ']"
famous,"[6.878153199, 'JJ']"
ident,"[6.864385237, 'JJ']"
outsiz,"[6.846335267000001, 'JJ']"
multipl,"[6.8264000589999885, 'JJ']"
balanc,"[6.754685642, 'JJ']"
utter,"[6.63027895, 'JJ']"
french,"[6.574321025, 'JJ']"
clean,"[6.569749095000001, 'JJ']"
simplest,"[6.53736677, 'JJS']"
insuffici,"[6.465268382, 'JJ']"
swirl,"[6.399278954, 'JJ']"
concentr,"[6.381305475, 'JJ']"
individu,"[6.359241491000004, 'JJ']"
prudent,"[6.289161898000001, 'JJ']"
aforement,"[6.254421797999999, 'JJ']"
platform,"[6.234916436999999, 'JJ']"
tight,"[6.226891802999999, 'JJ']"
bloomberg,"[6.205894562, 'JJ']"
upscal,"[6.205894562, 'JJ']"
activist,"[6.205894562, 'JJ']"
sole,"[6.124503057, 'JJ']"
crazi,"[6.119266022, 'JJ']"
pure,"[6.117119671, 'JJ']"
assur,"[5.999241307, 'JJ']"
visa,"[5.999241307, 'JJ']"
messiest,"[5.972797161, 'JJS']"
hotter,"[5.972797161, 'JJR']"
palmer,"[5.972797161, 'JJR']"
concret,"[5.972797161, 'JJ']"
shot,"[5.972797161, 'JJ']"
lengthi,"[5.972797161, 'JJ']"
chosen,"[5.972797161, 'JJ']"
unsubstanti,"[5.972797161, 'JJ']"
secret,"[5.972117323999999, 'JJ']"
eager,"[5.9531984940000005, 'JJ']"
contrarian,"[5.8329811, 'JJ']"
cautionari,"[5.784253518000001, 'JJ']"
belief,"[5.784253518000001, 'JJ']"
noncash,"[5.699138502, 'JJ']"
paralyz,"[5.699138502, 'JJ']"
dismal,"[5.699138502, 'JJ']"
caus,"[5.699138502, 'JJ']"
latin,"[5.699138502, 'JJ']"
unimpress,"[5.699138502, 'JJ']"
112,"[5.699138502, 'JJ']"
horsepow,"[5.658914729, 'JJR']"
involv,"[5.658914729, 'JJ']"
accumul,"[5.658914729, 'JJ']"
sensibl,"[5.658914729, 'JJ']"
cold,"[5.658914729, 'JJ']"
blunt,"[5.658914729, 'JJ']"
pole,"[5.658914729, 'JJ']"
thousand,"[5.658914729, 'JJ']"
speech,"[5.658914729, 'JJ']"
decreas,"[5.658914729, 'JJ']"
breadth,"[5.658914729, 'JJ']"
signal,"[5.658914729, 'JJ']"
psycholog,"[5.658914729, 'JJ']"
mere,"[5.63399037, 'JJ']"
support,"[5.599471283, 'JJ']"
statistician,"[5.5857447350000005, 'JJ']"
relic,"[5.5857447350000005, 'JJ']"
legendari,"[5.5857447350000005, 'JJ']"
municip,"[5.536574212, 'JJ']"
perfect,"[5.527369954000003, 'JJ']"
regular,"[5.469932808999998, 'JJ']"
r7,"[5.437352246, 'JJ']"
rang,"[5.437352246, 'JJ']"
coil,"[5.437352246, 'JJ']"
lever,"[5.437352246, 'JJ']"
valu,"[5.437352246, 'JJ']"
purpl,"[5.437352246, 'JJ']"
versatil,"[5.437352246, 'JJ']"
premier,"[5.274386019, 'JJR']"
fold,"[5.274386019, 'JJ']"
richer,"[5.265446799999999, 'JJR']"
episod,"[5.260533087, 'JJ']"
intang,"[5.21839473, 'JJ']"
linear,"[5.1118911910000016, 'JJ']"
comprehens,"[5.085357929, 'JJ']"
result,"[5.012197826, 'JJ']"
yeah,"[4.9608238479999995, 'JJ']"
nascent,"[4.890178202, 'JJ']"
heavier,"[4.849498328, 'JJR']"
scarc,"[4.849498328, 'JJ']"
intraven,"[4.849498328, 'JJ']"
eastern,"[4.849498328, 'JJ']"
diagnost,"[4.849498328, 'JJ']"
inelig,"[4.849498328, 'JJ']"
4th,"[4.849498328, 'JJ']"
durabl,"[4.849498328, 'JJ']"
reusabl,"[4.849498328, 'JJ']"
repo,"[4.849498328, 'JJ']"
requir,"[4.849498328, 'JJ']"
outpati,"[4.849498328, 'JJ']"
endolumin,"[4.849498328, 'JJ']"
pivot,"[4.849498328, 'JJ']"
tail,"[4.849498328, 'JJ']"
novel,"[4.849498328, 'JJ']"
male,"[4.849498328, 'JJ']"
sneak,"[4.849498328, 'JJ']"
troublesom,"[4.849498328, 'JJ']"
appreci,"[4.849498328, 'JJ']"
greenfield,"[4.849498328, 'JJ']"
nan,"[4.849498328, 'JJ']"
sic,"[4.849498328, 'JJ']"
translumin,"[4.849498328, 'JJ']"
workflow,"[4.849498328, 'JJ']"
pulmonari,"[4.849498328, 'JJ']"
defib,"[4.849498328, 'JJ']"
settl,"[4.849498328, 'JJ']"
unsustain,"[4.838056615999999, 'JJ']"
care,"[4.791044107, 'JJ']"
discount,"[4.763038819, 'JJ']"
event,"[4.763038819, 'JJ']"
remedi,"[4.763038819, 'JJ']"
empow,"[4.725091636, 'JJR']"
sooth,"[4.725091636, 'JJ']"
shale,"[4.725091636, 'JJ']"
genet,"[4.725091636, 'JJ']"
u,"[4.725091636, 'JJ']"
believ,"[4.725091636, 'JJ']"
narrabo,"[4.725091636, 'JJ']"
pertin,"[4.725091636, 'JJ']"
maco,"[4.725091636, 'JJ']"
supplementari,"[4.707792208, 'JJ']"
snap,"[4.707792208, 'JJ']"
convers,"[4.707792208, 'JJ']"
tabl,"[4.688085074, 'JJ']"
unveil,"[4.679948858000001, 'JJ']"
featur,"[4.675211825, 'JJ']"
hold,"[4.667757859, 'JJ']"
twenti,"[4.604340067, 'JJ']"
q3,"[4.604340067, 'JJ']"
renegoti,"[4.5999999990000005, 'JJ']"
timothi,"[4.591537167, 'JJ']"
oppon,"[4.591537167, 'JJ']"
size,"[4.591537167, 'JJ']"
hug,"[4.591537167, 'JJ']"
speed,"[4.591537167, 'JJ']"
acrimoni,"[4.591537167, 'JJ']"
synthet,"[4.591537167, 'JJ']"
thermonuclear,"[4.591537167, 'JJ']"
unsold,"[4.581625271, 'JJ']"
exclud,"[4.581625271, 'JJ']"
unstructur,"[4.581625271, 'JJ']"
persona,"[4.581625271, 'JJ']"
quantum,"[4.581625271, 'JJ']"
proof,"[4.581625271, 'JJ']"
progress,"[4.581625271, 'JJ']"
ramp,"[4.581625271, 'JJ']"
asian,"[4.545464928000001, 'JJ']"
quieter,"[4.503816794, 'JJ']"
boutiqu,"[4.503816794, 'JJ']"
roi,"[4.503816794, 'JJ']"
preorder,"[4.503816794, 'JJ']"
coincident,"[4.503816794, 'JJ']"
untest,"[4.503816794, 'JJ']"
wane,"[4.503816794, 'JJ']"
adequ,"[4.503816794, 'JJ']"
pooh,"[4.503816794, 'JJ']"
insati,"[4.503816794, 'JJ']"
turbo,"[4.503816794, 'JJ']"
learn,"[4.503816794, 'JJ']"
academ,"[4.503816794, 'JJ']"
apt,"[4.503816794, 'JJ']"
overclock,"[4.503816794, 'JJ']"
140w,"[4.503816794, 'JJ']"
simplywal,"[4.503816794, 'JJ']"
need,"[4.503816794, 'JJ']"
overpr,"[4.503816794, 'JJ']"
monstrous,"[4.503816794, 'JJ']"
demo,"[4.503816794, 'JJ']"
dud,"[4.503816794, 'JJ']"
turnkey,"[4.412228176, 'JJ']"
folder,"[4.384667653, 'JJR']"
warm,"[4.384667653, 'JJ']"
hidden,"[4.384667653, 'JJ']"
iri,"[4.384667653, 'JJ']"
manual,"[4.384667653, 'JJ']"
gray,"[4.384667653, 'JJ']"
aloof,"[4.384667653, 'JJ']"
spark,"[4.384667653, 'JJ']"
irrever,"[4.384667653, 'JJ']"
poni,"[4.384667653, 'JJ']"
dread,"[4.384667653, 'JJ']"
imagin,"[4.384667653, 'JJ']"
paranoid,"[4.384667653, 'JJ']"
unrealist,"[4.384667653, 'JJ']"
send,"[4.384667653, 'JJ']"
elig,"[4.384667653, 'JJ']"
overkil,"[4.384667653, 'JJ']"
gear,"[4.384667653, 'JJ']"
wet,"[4.384667653, 'JJ']"
glorious,"[4.384667653, 'JJ']"
twist,"[4.384667653, 'JJ']"
closest,"[4.31139179, 'JJS']"
onshor,"[4.31139179, 'JJR']"
eco,"[4.31139179, 'JJ']"
side,"[4.31139179, 'JJ']"
debit,"[4.31139179, 'JJ']"
token,"[4.31139179, 'JJ']"
provid,"[4.31139179, 'JJ']"
fraction,"[4.31139179, 'JJ']"
imper,"[4.31139179, 'JJ']"
announc,"[4.31139179, 'JJ']"
badg,"[4.31139179, 'JJ']"
unforese,"[4.31139179, 'JJ']"
countless,"[4.31139179, 'JJ']"
pan,"[4.31139179, 'JJ']"
proactiv,"[4.31139179, 'JJ']"
see,"[4.31139179, 'JJ']"
vibrant,"[4.31139179, 'JJ']"
cashless,"[4.31139179, 'JJ']"
perform,"[4.31139179, 'JJ']"
euro,"[4.31139179, 'JJ']"
talent,"[4.31139179, 'JJ']"
usa,"[4.31139179, 'JJ']"
issu,"[4.31139179, 'JJ']"
segment,"[4.31139179, 'JJ']"
inbound,"[4.31139179, 'JJ']"
shabbi,"[4.31139179, 'JJ']"
awhil,"[4.31139179, 'JJ']"
conscious,"[4.305778629999999, 'JJ']"
younger,"[4.249229851, 'JJR']"
per,"[4.245254152999999, 'JJ']"
edgeless,"[4.242487262, 'JJ']"
resist,"[4.242487262, 'JJ']"
concept,"[4.242487262, 'JJ']"
frequent,"[4.242487262, 'JJ']"
sketchi,"[4.242487262, 'JJ']"
gorgeous,"[4.242487262, 'JJ']"
slim,"[4.242487262, 'JJ']"
oblong,"[4.242487262, 'JJ']"
microsdxc,"[4.242487262, 'JJ']"
bumpi,"[4.208416834, 'JJ']"
program,"[4.208416834, 'JJ']"
defer,"[4.1866995729999985, 'JJ']"
disrupt,"[4.17201826, 'JJ']"
unknown,"[4.107590552, 'JJ']"
bore,"[4.107066745, 'JJ']"
skeptic,"[4.098525347, 'JJ']"
hundr,"[4.042484014, 'JJ']"
treat,"[4.042484014, 'JJ']"
messeng,"[4.0394322460000005, 'JJR']"
forens,"[4.0394322460000005, 'JJ']"
matur,"[4.0394322460000005, 'JJ']"
siphon,"[4.0394322460000005, 'JJ']"
government,"[4.0394322460000005, 'JJ']"
bps,"[4.035045414, 'JJ']"
win,"[4.027084258999999, 'JJ']"
squar,"[4.0015113939999996, 'JJ']"
unforeseen,"[3.982300885, 'JJ']"
mandatori,"[3.982300885, 'JJ']"
indirect,"[3.982300885, 'JJ']"
suit,"[3.982300885, 'JJ']"
unlaw,"[3.982300885, 'JJ']"
terrestri,"[3.980583501, 'JJ']"
offset,"[3.957487255, 'JJR']"
risk,"[3.957487255, 'JJ']"
incorpor,"[3.957487255, 'JJ']"
healthcar,"[3.957487255, 'JJ']"
unsurpass,"[3.957487255, 'JJ']"
argu,"[3.957487255, 'JJ']"
contemporari,"[3.957487255, 'JJ']"
comp,"[3.957487255, 'JJ']"
ranch,"[3.957487255, 'JJ']"
tavr,"[3.957487255, 'JJ']"
referr,"[3.957487255, 'JJ']"
establish,"[3.957487255, 'JJ']"
glad,"[3.957487255, 'JJ']"
elder,"[3.957487255, 'JJ']"
vascular,"[3.957487255, 'JJ']"
captiv,"[3.957487255, 'JJ']"
medtron,"[3.957487255, 'JJ']"
annular,"[3.957487255, 'JJ']"
stupend,"[3.957487255, 'JJ']"
decid,"[3.957487255, 'JJ']"
skill,"[3.957487255, 'JJ']"
simpler,"[3.957487255, 'JJ']"
institut,"[3.948063794000003, 'JJ']"
cheapest,"[3.9093424800000003, 'JJS']"
instant,"[3.8130494759999984, 'JJ']"
sudden,"[3.7990990879999997, 'JJ']"
discuss,"[3.710849861, 'JJ']"
veteran,"[3.710849861, 'JJ']"
semit,"[3.710849861, 'JJ']"
tini,"[3.5959229, 'JJ']"
beta,"[3.457354972, 'JJ']"
hype,"[3.457354972, 'JJ']"
swift,"[3.433266081000001, 'JJ']"
ruinous,"[3.345802161, 'JJ']"
pay,"[3.345802161, 'JJ']"
hyper,"[3.345802161, 'JJ']"
navig,"[3.341429817, 'JJ']"
audio,"[3.3389820929999985, 'JJ']"
govern,"[3.3091711320000003, 'JJ']"
undisclos,"[3.200900378, 'JJ']"
centric,"[3.197778189000001, 'JJ']"
fit,"[3.1915845640000002, 'JJ']"
licens,"[3.17526043, 'JJ']"
super,"[3.1695129469999994, 'JJ']"
finger,"[3.139717425, 'JJR']"
portabl,"[3.139717425, 'JJ']"
vener,"[3.139717425, 'JJ']"
login,"[3.139717425, 'JJ']"
grown,"[3.139717425, 'JJ']"
form,"[3.139717425, 'JJ']"
temper,"[3.139717425, 'JJ']"
stupid,"[3.139717425, 'JJ']"
crazier,"[3.139717425, 'JJ']"
breed,"[3.139717425, 'JJ']"
adept,"[3.139717425, 'JJ']"
tout,"[3.139717425, 'JJ']"
touch,"[3.139717425, 'JJ']"
cool,"[3.139717425, 'JJ']"
interact,"[3.139717425, 'JJ']"
unconvert,"[3.139717425, 'JJ']"
peripher,"[3.139717425, 'JJ']"
granular,"[3.139717425, 'JJ']"
everywher,"[3.139717425, 'JJ']"
expans,"[3.139717425, 'JJ']"
stark,"[3.1295609790000007, 'JJ']"
reinvent,"[3.102947281, 'JJ']"
fragment,"[3.102947281, 'JJ']"
startl,"[3.102947281, 'JJ']"
urban,"[3.102947281, 'JJ']"
dot,"[3.102947281, 'JJ']"
nationwid,"[3.102947281, 'JJ']"
sleepi,"[3.102947281, 'JJ']"
sovid,"[3.102947281, 'JJ']"
chic,"[3.102947281, 'JJ']"
nicknam,"[3.102947281, 'JJ']"
toilet,"[3.102947281, 'JJ']"
dniemi1,"[3.102947281, 'JJ']"
audiobook,"[3.102947281, 'JJ']"
fanci,"[3.102947281, 'JJ']"
scari,"[3.102947281, 'JJ']"
dub,"[3.102947281, 'JJ']"
seamless,"[3.102947281, 'JJ']"
procur,"[3.102947281, 'JJ']"
untouch,"[3.102947281, 'JJ']"
marri,"[3.102947281, 'JJ']"
recept,"[3.102947281, 'JJ']"
mortar,"[3.102947281, 'JJ']"
unexpect,"[3.094556980000002, 'JJ']"
alreadi,"[3.0709888, 'JJ']"
grand,"[3.0709888, 'JJ']"
legal,"[3.050878247000006, 'JJ']"
brightest,"[3.048780488, 'JJS']"
router,"[3.048780488, 'JJR']"
blade,"[3.048780488, 'JJ']"
moder,"[3.048780488, 'JJ']"
shortest,"[2.91649055, 'JJS']"
forti,"[2.91649055, 'JJ']"
irrespons,"[2.91649055, 'JJ']"
snackabl,"[2.91649055, 'JJ']"
aw,"[2.91649055, 'JJ']"
omin,"[2.91649055, 'JJ']"
seventeen,"[2.91649055, 'JJ']"
leisur,"[2.91649055, 'JJ']"
engag,"[2.8769202089999997, 'JJ']"
typic,"[2.8611860840000007, 'JJ']"
relat,"[2.8289335600000083, 'JJ']"
fledgl,"[2.768287106, 'JJ']"
breakthrough,"[2.768287106, 'JJ']"
achiev,"[2.768287106, 'JJ']"
built,"[2.768287106, 'JJ']"
prestig,"[2.768287106, 'JJ']"
affluent,"[2.768287106, 'JJ']"
nonfinanci,"[2.768287106, 'JJ']"
promin,"[2.682395179999999, 'JJ']"
furious,"[2.6406217719999994, 'JJ']"
earliest,"[2.555647156, 'JJS']"
widespar,"[2.555647156, 'JJ']"
widespead,"[2.555647156, 'JJ']"
complic,"[2.5532695370000003, 'JJ']"
streamlin,"[2.506098913, 'JJ']"
fantasi,"[2.506098913, 'JJ']"
assum,"[2.506098913, 'JJ']"
stole,"[2.506098913, 'JJ']"
behavior,"[2.506098913, 'JJ']"
propos,"[2.506098913, 'JJ']"
investig,"[2.506098913, 'JJ']"
benefit,"[2.47793695, 'JJ']"
strang,"[2.456552655, 'JJ']"
sensefli,"[2.445089101, 'JJ']"
restrict,"[2.445089101, 'JJ']"
marin,"[2.445089101, 'JJ']"
paramount,"[2.445089101, 'JJ']"
equit,"[2.445089101, 'JJ']"
aerial,"[2.445089101, 'JJ']"
compliant,"[2.445089101, 'JJ']"
dumb,"[2.445089101, 'JJ']"
agricultur,"[2.445089101, 'JJ']"
prolif,"[2.445089101, 'JJ']"
move,"[2.445089101, 'JJ']"
unman,"[2.445089101, 'JJ']"
iot,"[2.445089101, 'JJ']"
drone,"[2.445089101, 'JJ']"
eweek,"[2.445089101, 'JJ']"
whisper,"[2.445089101, 'JJ']"
stay,"[2.445089101, 'JJ']"
usag,"[2.3862457689999985, 'JJ']"
rank,"[2.349252467, 'JJ']"
replac,"[2.3475437580000005, 'JJ']"
akin,"[2.344042537, 'JJ']"
sign,"[2.344042537, 'JJ']"
pursu,"[2.344042537, 'JJ']"
script,"[2.344042537, 'JJ']"
covet,"[2.344042537, 'JJ']"
leeri,"[2.344042537, 'JJ']"
macro,"[2.338303951, 'JJ']"
wherebi,"[2.265122265, 'JJ']"
curat,"[2.265122265, 'JJ']"
royalti,"[2.265122265, 'JJ']"
it,"[2.206114088, 'JJ']"
converg,"[2.206114088, 'JJ']"
17th,"[2.1915202760000003, 'JJ']"
clearest,"[2.121243631, 'JJS']"
switchabl,"[2.121243631, 'JJ']"
inadvert,"[2.121243631, 'JJ']"
protect,"[2.121243631, 'JJ']"
kept,"[2.121243631, 'JJ']"
stringent,"[2.121243631, 'JJ']"
usabl,"[2.121243631, 'JJ']"
unseen,"[2.121243631, 'JJ']"
compact,"[2.121243631, 'JJ']"
vagu,"[2.086383481, 'JJ']"
capabl,"[2.084645422000001, 'JJ']"
vital,"[2.043798457000001, 'JJ']"
complementari,"[2.0378132559999997, 'JJ']"
vulner,"[1.910849188, 'JJ']"
gravest,"[1.905187314, 'JJS']"
puni,"[1.905187314, 'JJ']"
discoveri,"[1.905187314, 'JJ']"
unwant,"[1.905187314, 'JJ']"
unstopp,"[1.905187314, 'JJ']"
broken,"[1.905187314, 'JJ']"
flaw,"[1.905187314, 'JJ']"
