expect,"[1521.0048695479993, 'VBG']"
vs,"[17.896741808999998, 'VBD']"
squeez,"[17.889247511000004, 'VB']"
trigger,"[17.763155849, 'VBN']"
peer,"[17.72428884, 'VB']"
tepid,"[17.676143386, 'VB']"
swear,"[17.61161607, 'VBZ']"
bps,"[17.564772472, 'VBP']"
showcas,"[17.434439298, 'VB']"
classifi,"[17.430699743999998, 'VBN']"
lean,"[17.425837679, 'VBD']"
util,"[17.424735128000002, 'VB']"
short,"[17.403152098, 'VB']"
briefli,"[17.25255976, 'VBD']"
stack,"[17.227396256, 'VB']"
talli,"[17.203121755999998, 'VBD']"
rush,"[17.126905015, 'VBN']"
sank,"[17.07407875, 'VBD']"
deal,"[17.000218442999998, 'VBG']"
cool,"[16.984628998, 'VBN']"
misreport,"[16.976744187, 'VBN']"
www,"[16.934617686, 'VB']"
messag,"[16.901109151, 'VBZ']"
overal,"[16.847118349, 'VBP']"
segment,"[16.775397648, 'VBZ']"
toler,"[16.76484179, 'VB']"
supplementari,"[16.721273426, 'VBP']"
hey,"[16.721273426, 'VBP']"
dispatch,"[16.721273426, 'VBG']"
moder,"[16.691124271000003, 'VB']"
second,"[16.665685172, 'VBZ']"
tweak,"[16.651240662, 'VB']"
relax,"[16.616638346, 'VBG']"
print,"[16.484045293, 'VB']"
unlock,"[16.373135925, 'VB']"
discourag,"[16.349172521, 'VB']"
notch,"[16.348434772, 'VBD']"
expos,"[16.328448961, 'VBN']"
handset,"[16.326997149, 'VB']"
pictur,"[16.305356657, 'VBN']"
strive,"[16.302963759999997, 'VBP']"
near,"[16.289295861, 'VBG']"
rock,"[16.277095849000002, 'VBN']"
jam,"[16.277095849000002, 'VBG']"
bid,"[16.177666054, 'VBD']"
listen,"[16.046974853, 'VBN']"
workplac,"[15.908200205, 'VB']"
multipli,"[15.845329089, 'VBG']"
pave,"[15.727016982, 'VBZ']"
progress,"[15.603269349000001, 'VBG']"
hint,"[15.555747048, 'VBN']"
tick,"[15.551794006, 'VBD']"
ru,"[15.52551243, 'VBP']"
rub,"[15.52551243, 'VBD']"
radar,"[15.50387597, 'VBZ']"
notebook,"[15.50387597, 'VBZ']"
partnership,"[15.50387597, 'VBZ']"
pc,"[15.50387597, 'VBP']"
exult,"[15.50387597, 'VBD']"
sponsor,"[15.482263087000002, 'VBD']"
warm,"[15.432285834000002, 'VBN']"
entic,"[15.390531064000001, 'VB']"
speed,"[15.380636199000001, 'VBD']"
diagnos,"[15.365170727999999, 'VB']"
crowdsourc,"[15.36036036, 'VBN']"
unbias,"[15.36036036, 'VBD']"
incorpor,"[15.33750654, 'VBN']"
surfac,"[15.334108488999998, 'VBD']"
stimul,"[15.240764036, 'VBN']"
steal,"[15.232777462, 'VB']"
punish,"[15.214394505000001, 'VB']"
card,"[15.210723351, 'VBP']"
underestim,"[15.19026193, 'VBZ']"
mitig,"[15.180013796999999, 'VBG']"
ani,"[15.179928028, 'VBP']"
bleed,"[15.13934047, 'VBG']"
amd,"[15.038817904999998, 'VBZ']"
whatev,"[14.931314372, 'VBD']"
window,"[14.823991965000001, 'VBZ']"
camera,"[14.756732569, 'VBD']"
broaden,"[14.728240283, 'VB']"
architectur,"[14.666548317, 'VBP']"
retreat,"[14.498462741, 'VBG']"
mode,"[14.473159655, 'VBD']"
incent,"[14.469669770000001, 'VBZ']"
forc,"[14.335487603999992, 'VBD']"
scan,"[14.312901785000001, 'VBG']"
blog,"[14.289636858999998, 'VBG']"
chipset,"[14.242397111, 'VBP']"
encount,"[14.194409360000002, 'VB']"
rerat,"[14.175274908, 'VBG']"
affirm,"[14.060135826, 'VB']"
har,"[14.05835544, 'VBG']"
rebut,"[14.05835544, 'VBG']"
deposit,"[14.05835544, 'VBG']"
flee,"[14.05835544, 'VBG']"
conceiv,"[14.05835544, 'VBD']"
revok,"[14.05835544, 'VBD']"
teas,"[14.015858367, 'VB']"
train,"[13.991167788999999, 'VBN']"
gone,"[13.984694998000002, 'VBN']"
grandfath,"[13.90741349, 'VBN']"
walk,"[13.899829068000003, 'VBD']"
unseat,"[13.882674897000001, 'VB']"
and1,"[13.84835124, 'VBZ']"
hast,"[13.84835124, 'VBZ']"
drama,"[13.84835124, 'VBZ']"
agenda,"[13.84835124, 'VBZ']"
loss,"[13.84835124, 'VBZ']"
cull,"[13.84835124, 'VBN']"
forthright,"[13.84835124, 'VBN']"
ape,"[13.84835124, 'VBN']"
morph,"[13.84835124, 'VBN']"
scratch,"[13.84835124, 'VBG']"
spawn,"[13.84835124, 'VBD']"
doug,"[13.84835124, 'VB']"
chill,"[13.84835124, 'VB']"
netflix,"[13.84835124, 'VB']"
revisit,"[13.808015539, 'VB']"
hook,"[13.741379704, 'VB']"
written,"[13.716588259000002, 'VBN']"
q1,"[13.711642748, 'VB']"
downplay,"[13.652977341, 'VBD']"
snap,"[13.618833634000001, 'VB']"
desktop,"[13.580480336, 'VB']"
warrant,"[13.565763384, 'VBG']"
bias,"[13.501632195, 'VBN']"
contempl,"[13.464433698, 'VBG']"
suppos,"[13.448733596, 'VBN']"
truck,"[13.421670943999999, 'VBG']"
breach,"[13.372834544, 'VBZ']"
org,"[13.365961213999999, 'VBP']"
tempt,"[13.365961213999999, 'VBG']"
infring,"[13.358845216999999, 'VBD']"
enterpris,"[13.357112960000002, 'VBZ']"
kit,"[13.343184864000001, 'VBD']"
pale,"[13.30150068, 'VBZ']"
phase,"[13.30150068, 'VBN']"
favour,"[13.30150068, 'VBN']"
realloc,"[13.30150068, 'VBG']"
loop,"[13.30150068, 'VBG']"
red,"[13.30150068, 'VBD']"
outbid,"[13.30150068, 'VBD']"
theoriz,"[13.30150068, 'VBD']"
sour,"[13.30150068, 'VB']"
emarket,"[13.30150068, 'VB']"
refresh,"[13.283998166000002, 'VBD']"
mid,"[13.234204584, 'VB']"
incur,"[13.222402701, 'VBG']"
broke,"[13.166149281, 'VBD']"
pri,"[13.154002959, 'VBG']"
fade,"[13.131774972999999, 'VBN']"
overse,"[13.116683838, 'VBG']"
detail,"[13.075704851999992, 'VBN']"
threw,"[13.055486277000002, 'VBD']"
repatri,"[12.93417537, 'VBN']"
ascend,"[12.917882928000001, 'VBG']"
lip,"[12.876318386000001, 'VBN']"
sheet,"[12.836442615000001, 'VBD']"
shock,"[12.800234687, 'VBG']"
ignor,"[12.743786895000001, 'VBD']"
sooner,"[12.706517693, 'VBP']"
tripl,"[12.651509659999999, 'VBN']"
pocketbook,"[12.63832266, 'VBP']"
rework,"[12.63832266, 'VBN']"
haul,"[12.63832266, 'VBN']"
lengthen,"[12.63832266, 'VBG']"
wither,"[12.63832266, 'VBG']"
filter,"[12.63832266, 'VB']"
cushion,"[12.63832266, 'VB']"
weed,"[12.63832266, 'VB']"
toughen,"[12.63832266, 'VB']"
grade,"[12.63832266, 'VB']"
noth,"[12.572994281, 'VBG']"
cloud,"[12.57222359, 'VB']"
reaffirm,"[12.568102916999996, 'VBD']"
abandon,"[12.552007938000001, 'VB']"
tight,"[12.482989453000002, 'VBD']"
weight,"[12.479516507, 'VBD']"
onlin,"[12.441366074000001, 'VBZ']"
skew,"[12.370046552, 'VBN']"
emerg,"[12.357849514999995, 'VBD']"
repli,"[12.250686862999999, 'VBN']"
hand,"[12.243586668999999, 'VBN']"
absorb,"[12.170107865, 'VBG']"
bake,"[12.13114754, 'VBN']"
ryzen,"[12.13114754, 'VBN']"
ice,"[12.13114754, 'VBG']"
quadrupl,"[12.13114754, 'VBD']"
sublicens,"[12.13114754, 'VB']"
hinder,"[12.13114754, 'VB']"
approxim,"[12.13114754, 'VB']"
confin,"[12.117413642, 'VBN']"
rollout,"[12.074148005, 'VBP']"
gratifi,"[12.074148005, 'VBG']"
intrigu,"[12.038493370000001, 'VBN']"
reviv,"[11.995510654, 'VB']"
scrap,"[11.963559104, 'VBD']"
retail,"[11.952938227, 'VB']"
dish,"[11.92589932, 'VBN']"
enthus,"[11.92589932, 'VBN']"
misus,"[11.92589932, 'VBN']"
spearhead,"[11.92589932, 'VBN']"
confound,"[11.92589932, 'VBN']"
jing,"[11.92589932, 'VBG']"
signup,"[11.92589932, 'VBD']"
alon,"[11.92589932, 'VBD']"
splurg,"[11.92589932, 'VBD']"
undoubt,"[11.92589932, 'VBD']"
host,"[11.909438613999999, 'VBZ']"
stick,"[11.902637990000002, 'VB']"
aris,"[11.894384042000002, 'VB']"
dwarf,"[11.864515412, 'VBN']"
heat,"[11.751452606999997, 'VBG']"
tread,"[11.713807126999999, 'VB']"
resign,"[11.671935663, 'VBD']"
command,"[11.666953874999999, 'VBP']"
forfeit,"[11.63171189, 'VBN']"
bundl,"[11.616470388, 'VBN']"
tailor,"[11.611470101, 'VBN']"
aid,"[11.581074519, 'VB']"
weaken,"[11.535234589999996, 'VBD']"
meddl,"[11.446224567, 'VB']"
innov,"[11.403606312, 'VB']"
caus,"[11.401511658999983, 'VB']"
underscor,"[11.391030041, 'VBD']"
escal,"[11.346744458, 'VBG']"
fabric,"[11.317829458, 'VBZ']"
complic,"[11.280470339999999, 'VBZ']"
clamor,"[11.269201634, 'VBG']"
eas,"[11.258403201, 'VBG']"
item,"[11.17318436, 'VBP']"
malfunct,"[11.17318436, 'VBG']"
fate,"[11.157197206, 'VBD']"
hover,"[11.131052435, 'VBG']"
master,"[11.096266974999999, 'VB']"
undervalu,"[11.050737482, 'VBN']"
matur,"[11.049484371000002, 'VBG']"
forese,"[11.046989341, 'VB']"
protest,"[10.886810809, 'VB']"
graphic,"[10.874704492, 'VBP']"
guarante,"[10.866900119999999, 'VB']"
map,"[10.745705710000001, 'VBG']"
flow,"[10.651597235, 'VBP']"
impli,"[10.647761867999993, 'VBD']"
resist,"[10.620153086, 'VBP']"
deter,"[10.574004414000001, 'VB']"
underperform,"[10.566839564, 'VBN']"
drill,"[10.564334328000001, 'VBG']"
insul,"[10.5156724, 'VBZ']"
congrat,"[10.5156724, 'VBZ']"
hereof,"[10.5156724, 'VBP']"
personnel,"[10.5156724, 'VBP']"
juxtapos,"[10.5156724, 'VBN']"
buri,"[10.5156724, 'VBN']"
wash,"[10.5156724, 'VBN']"
prone,"[10.5156724, 'VBN']"
tabul,"[10.5156724, 'VBG']"
therapi,"[10.5156724, 'VB']"
inclin,"[10.5156724, 'VB']"
slowli,"[10.5156724, 'VB']"
imper,"[10.453749526000001, 'VBZ']"
edit,"[10.427300540999997, 'VB']"
relaunch,"[10.372064916, 'VB']"
launchgalaxi,"[10.372064916, 'VB']"
demand,"[10.364272114999999, 'VB']"
notifi,"[10.293447716, 'VB']"
subdu,"[10.284188951, 'VBN']"
sway,"[10.254126474, 'VB']"
processor,"[10.24054, 'VBP']"
restor,"[10.207845316, 'VB']"
race,"[10.207411490000002, 'VBG']"
matter,"[10.176025291999999, 'VBP']"
mull,"[10.162443882, 'VBG']"
truli,"[10.134817892999997, 'VBP']"
dwindl,"[10.106798752, 'VBG']"
minim,"[10.065841267, 'VB']"
delight,"[10.059836915, 'VBD']"
stuck,"[10.028889413, 'VBN']"
ecosystem,"[9.970306519000001, 'VB']"
reloc,"[9.941625764000001, 'VBN']"
pertain,"[9.930284416, 'VBG']"
chase,"[9.912743004, 'VBG']"
han,"[9.773371105, 'VBZ']"
prospect,"[9.773371105, 'VBZ']"
upsid,"[9.773371105, 'VBP']"
o,"[9.773371105, 'VBP']"
cautious,"[9.773371105, 'VBP']"
presum,"[9.773371105, 'VBN']"
elat,"[9.773371105, 'VBN']"
bottl,"[9.773371105, 'VBG']"
franchis,"[9.773371105, 'VBG']"
notbank,"[9.773371105, 'VBG']"
flip,"[9.773371105, 'VBG']"
enthusiast,"[9.773371105, 'VBD']"
waft,"[9.773371105, 'VBD']"
culmin,"[9.773371105, 'VBD']"
encumb,"[9.698996656, 'VBN']"
better,"[9.685429609, 'VB']"
distract,"[9.683647021999999, 'VBZ']"
proven,"[9.620208807000001, 'VBN']"
be,"[9.596733736000003, 'VBG']"
fast,"[9.593837814999999, 'VB']"
servic,"[9.592205236000002, 'VB']"
reward,"[9.564972970000001, 'VBP']"
plagu,"[9.519439818, 'VBN']"
discredit,"[9.518549204, 'VBZ']"
ahd,"[9.518549204, 'VBP']"
ridicul,"[9.518549204, 'VBN']"
taunt,"[9.518549204, 'VBN']"
iter,"[9.518549204, 'VBG']"
infer,"[9.518549204, 'VB']"
handov,"[9.518549204, 'VB']"
rein,"[9.509013216000001, 'VBG']"
allay,"[9.450183272, 'VBG']"
react,"[9.443642324, 'VB']"
zack,"[9.41234845, 'VBZ']"
straddl,"[9.353315122, 'VBG']"
layer,"[9.353315122, 'VB']"
fault,"[9.335368746, 'VBN']"
upset,"[9.308841843, 'VBZ']"
rattl,"[9.308841843, 'VBD']"
team,"[9.224724972, 'VBP']"
behav,"[9.210211310000002, 'VB']"
underlin,"[9.185014577, 'VBN']"
roar,"[9.183074334, 'VBG']"
defin,"[9.170006289000025, 'VBN']"
n,"[9.163250542, 'VBP']"
flash,"[9.163250542, 'VBP']"
alloc,"[9.160890118000001, 'VBG']"
webcast,"[9.160890118000001, 'VB']"
fake,"[9.062028381000001, 'VBP']"
character,"[9.048595071999998, 'VBN']"
diversifi,"[9.031589486, 'VB']"
workload,"[9.007633588, 'VBZ']"
encod,"[9.007633588, 'VBG']"
turbo,"[9.007633588, 'VBG']"
true,"[8.997815401, 'VBP']"
videogam,"[8.997815401, 'VBP']"
shackl,"[8.997815401, 'VBG']"
sxxp,"[8.997815401, 'VBD']"
rode,"[8.997815401, 'VBD']"
bewar,"[8.997815401, 'VB']"
tangibl,"[8.997815401, 'VB']"
interest,"[8.993649332, 'VBG']"
revert,"[8.970824399000001, 'VBG']"
categori,"[8.958517211, 'VBZ']"
besid,"[8.958517211, 'VBZ']"
taxi,"[8.958517211, 'VBP']"
growth,"[8.958517211, 'VBP']"
isol,"[8.958517211, 'VBN']"
crawl,"[8.958517211, 'VBG']"
incentiv,"[8.958517211, 'VBG']"
loos,"[8.958517211, 'VBG']"
index,"[8.958517211, 'VBG']"
blend,"[8.958517211, 'VBD']"
transact,"[8.958517211, 'VB']"
macro,"[8.958517211, 'VB']"
indiscern,"[8.958517211, 'VB']"
vladimir,"[8.958517211, 'VB']"
preinstal,"[8.958517211, 'VB']"
gush,"[8.941029901000002, 'VBG']"
role,"[8.86214442, 'VBZ']"
outrun,"[8.86214442, 'VBZ']"
smb,"[8.86214442, 'VBP']"
tide,"[8.86214442, 'VB']"
lowbal,"[8.838071693, 'VBG']"
accommod,"[8.838071693, 'VB']"
trial,"[8.806985583, 'VBG']"
today,"[8.741084267, 'VBP']"
reinvigor,"[8.712233628, 'VB']"
score,"[8.68600568, 'VBD']"
reimburs,"[8.633753581, 'VBN']"
et,"[8.62278358, 'VBP']"
lap,"[8.62278358, 'VBG']"
recalcul,"[8.62278358, 'VB']"
pose,"[8.503067420999997, 'VBP']"
ew,"[8.479345065999999, 'VBD']"
tap,"[8.465901525, 'VB']"
slump,"[8.458738610000005, 'VBD']"
dispel,"[8.416833668, 'VB']"
embrac,"[8.309313575, 'VBG']"
import,"[8.304861318, 'VBZ']"
just,"[8.268879045, 'VBP']"
shop,"[8.230391841000001, 'VBG']"
rest,"[8.228688969, 'VB']"
surviv,"[8.164892777000002, 'VB']"
suffer,"[8.083855720999992, 'VBN']"
facilit,"[8.036947704, 'VBZ']"
pinpoint,"[7.9967806150000005, 'VB']"
restrict,"[7.995920974000001, 'VBD']"
journey,"[7.96460177, 'VBZ']"
slope,"[7.953337123, 'VBZ']"
order,"[7.919506116999999, 'VBD']"
claim,"[7.90542372700001, 'VBD']"
locat,"[7.8668053609999955, 'VBN']"
circul,"[7.820382133000001, 'VBG']"
flock,"[7.781394783, 'VBG']"
cheaper,"[7.762756215, 'VBZ']"
roundtabl,"[7.762756215, 'VBP']"
b,"[7.762756215, 'VBP']"
arkadi,"[7.762756215, 'VBP']"
spoken,"[7.762756215, 'VBN']"
propag,"[7.762756215, 'VBN']"
compact,"[7.762756215, 'VBG']"
document,"[7.762756215, 'VBD']"
leapt,"[7.762756215, 'VBD']"
sing,"[7.762756215, 'VBD']"
deterior,"[7.762756215, 'VB']"
waiv,"[7.762756215, 'VB']"
immun,"[7.762756215, 'VB']"
default,"[7.762756215, 'VB']"
caesar,"[7.762756215, 'VB']"
bye,"[7.762756215, 'VB']"
drawn,"[7.742325799000001, 'VBN']"
synergi,"[7.68018018, 'VBZ']"
tablet,"[7.68018018, 'VBZ']"
crest,"[7.68018018, 'VBN']"
flaw,"[7.68018018, 'VBN']"
cave,"[7.68018018, 'VBN']"
cell,"[7.68018018, 'VBN']"
corn,"[7.68018018, 'VBG']"
choke,"[7.68018018, 'VBG']"
stifl,"[7.68018018, 'VBG']"
text,"[7.68018018, 'VBG']"
emb,"[7.68018018, 'VBD']"
plot,"[7.68018018, 'VB']"
overag,"[7.68018018, 'VB']"
fluctuat,"[7.574525732, 'VBP']"
meant,"[7.541286247999997, 'VBN']"
contend,"[7.508291561, 'VBG']"
renam,"[7.496787218, 'VBN']"
http,"[7.388694585, 'VB']"
prepaid,"[7.331205378, 'VBN']"
chalk,"[7.311364115, 'VBD']"
love,"[7.310834147000003, 'VBZ']"
devic,"[7.294587429, 'VB']"
ail,"[7.252685507000001, 'VBG']"
champion,"[7.22788234, 'VBN']"
tesla,"[7.194409129, 'VB']"
sell,"[7.120688704000142, 'VB']"
slate,"[7.107235842999997, 'VBN']"
x,"[7.097636080000001, 'VBZ']"
forgotten,"[7.074228455999999, 'VB']"
io,"[7.069056290000001, 'VBP']"
grappl,"[7.055612614000002, 'VBG']"
request,"[7.0395054319999995, 'VBP']"
judg,"[7.034457926, 'VBG']"
assimil,"[7.032127611, 'VB']"
drone,"[6.948905894999999, 'VB']"
batteri,"[6.914709944, 'VBZ']"
undemand,"[6.782881692, 'VBG']"
wring,"[6.782881692, 'VBG']"
wherev,"[6.782881692, 'VB']"
preced,"[6.770040393000002, 'VBD']"
inch,"[6.75357942, 'VBN']"
unexpect,"[6.750764675999999, 'VBN']"
hate,"[6.701412466, 'VBG']"
broadband,"[6.691604322, 'VBP']"
server,"[6.642767628, 'VBZ']"
collaps,"[6.640151087, 'VB']"
mail,"[6.631356707, 'VBP']"
align,"[6.582890356000001, 'VBZ']"
yahoo,"[6.545531159000001, 'VB']"
overhaul,"[6.538947345, 'VBN']"
video,"[6.512477651, 'VB']"
deem,"[6.488399798, 'VBN']"
cryptocurr,"[6.447268430000001, 'VB']"
supercomput,"[6.4090041079999995, 'VBG']"
deriv,"[6.399794694999995, 'VBD']"
perk,"[6.399278954, 'VBZ']"
avert,"[6.399278954, 'VB']"
bezel,"[6.363730893, 'VBZ']"
shatter,"[6.329660465, 'VB']"
frustrat,"[6.220935901000004, 'VB']"
fund,"[6.218013830000001, 'VBN']"
tag,"[6.2169487740000005, 'VBD']"
doughnut,"[6.205894562, 'VBZ']"
retool,"[6.1419776, 'VB']"
mobil,"[6.021928361, 'VBP']"
brace,"[6.019437830999999, 'VBG']"
sprout,"[5.972797161, 'VBZ']"
reckon,"[5.972797161, 'VBP']"
function,"[5.972797161, 'VBP']"
hidden,"[5.972797161, 'VBN']"
profess,"[5.972797161, 'VBN']"
destin,"[5.972797161, 'VBN']"
scoop,"[5.972797161, 'VBN']"
swelter,"[5.972797161, 'VBG']"
breath,"[5.972797161, 'VBG']"
retak,"[5.972797161, 'VBG']"
swarm,"[5.972797161, 'VBG']"
hot,"[5.972797161, 'VBD']"
mind,"[5.972797161, 'VBD']"
embattl,"[5.972797161, 'VBD']"
meat,"[5.972797161, 'VB']"
unfold,"[5.972797161, 'VB']"
peek,"[5.972797161, 'VB']"
evok,"[5.972797161, 'VB']"
rant,"[5.972797161, 'VB']"
valid,"[5.952555372, 'VBN']"
apolog,"[5.941160712999999, 'VBD']"
hide,"[5.934667653, 'VB']"
scroll,"[5.8329811, 'VBG']"
streamlin,"[5.830385874000001, 'VB']"
discret,"[5.811448551, 'VBP']"
toppl,"[5.8042617509999985, 'VB']"
fit,"[5.737849373, 'VBZ']"
ray,"[5.699138502, 'VBP']"
activist,"[5.699138502, 'VBP']"
impair,"[5.699138502, 'VBN']"
espous,"[5.699138502, 'VBN']"
buffer,"[5.699138502, 'VBN']"
writedown,"[5.699138502, 'VBN']"
merchandis,"[5.699138502, 'VBG']"
cush,"[5.699138502, 'VBG']"
empt,"[5.699138502, 'VBD']"
underpin,"[5.699138502, 'VBD']"
yen19,"[5.699138502, 'VB']"
dwell,"[5.699138502, 'VB']"
nurtur,"[5.699138502, 'VB']"
tokyo,"[5.699138502, 'VB']"
quash,"[5.699138502, 'VB']"
grind,"[5.699138502, 'VB']"
yen2,"[5.699138502, 'VB']"
blu,"[5.699138502, 'VB']"
tweet,"[5.683042157, 'VBD']"
globalfoundri,"[5.658914729, 'VBZ']"
steve,"[5.658914729, 'VBZ']"
quit,"[5.658914729, 'VBZ']"
regardless,"[5.658914729, 'VBP']"
discount,"[5.658914729, 'VBN']"
convolv,"[5.658914729, 'VBN']"
obsess,"[5.658914729, 'VBN']"
substanti,"[5.658914729, 'VBN']"
conflat,"[5.658914729, 'VBN']"
bang,"[5.658914729, 'VBG']"
stake,"[5.658914729, 'VBG']"
sprawl,"[5.658914729, 'VBG']"
ring,"[5.658914729, 'VBG']"
labor,"[5.658914729, 'VBG']"
trump,"[5.658914729, 'VBD']"
sacrific,"[5.658914729, 'VB']"
expertis,"[5.658914729, 'VB']"
thesi,"[5.658914729, 'VB']"
ai,"[5.658914729, 'VB']"
dispens,"[5.658914729, 'VB']"
commut,"[5.658914729, 'VB']"
mass,"[5.654195676, 'VB']"
hundr,"[5.592484014, 'VBD']"
approach,"[5.543953986000002, 'VBZ']"
bull,"[5.522389059, 'VBZ']"
cheer,"[5.49076251, 'VB']"
archiv,"[5.463482061999999, 'VBN']"
capabl,"[5.437352246, 'VBZ']"
noon,"[5.437352246, 'VBZ']"
negat,"[5.437352246, 'VBP']"
reprot,"[5.437352246, 'VBN']"
born,"[5.437352246, 'VBN']"
compress,"[5.437352246, 'VBN']"
scream,"[5.437352246, 'VBG']"
saliv,"[5.437352246, 'VBG']"
lace,"[5.437352246, 'VBD']"
r5,"[5.437352246, 'VBD']"
carv,"[5.437352246, 'VBD']"
stripe,"[5.437352246, 'VBD']"
legitim,"[5.437352246, 'VB']"
pus,"[5.437352246, 'VB']"
storm,"[5.437352246, 'VB']"
igpus,"[5.437352246, 'VB']"
beforehand,"[5.437352246, 'VB']"
outclass,"[5.437352246, 'VB']"
navig,"[5.427655304000002, 'VBN']"
supplement,"[5.425543463999999, 'VB']"
reap,"[5.3468097860000015, 'VB']"
knock,"[5.291236911, 'VB']"
hyperconverg,"[5.254894576, 'VBN']"
exhaust,"[5.246344261, 'VBG']"
azur,"[5.214358446, 'VBP']"
elimin,"[5.213355618, 'VB']"
technolog,"[5.198653650999999, 'VBZ']"
tack,"[5.142696215000001, 'VBD']"
discov,"[5.042933672, 'VBN']"
ditch,"[5.036335099000001, 'VBG']"
cost,"[5.017443069999986, 'VB']"
beef,"[5.013796469, 'VB']"
correct,"[4.982832513, 'VBN']"
compris,"[4.931275815, 'VBD']"
buyback,"[4.849498328, 'VBZ']"
geographi,"[4.849498328, 'VBZ']"
profil,"[4.849498328, 'VBP']"
overview,"[4.849498328, 'VBP']"
healthcar,"[4.849498328, 'VBP']"
equival,"[4.849498328, 'VBP']"
march,"[4.849498328, 'VBP']"
underway,"[4.849498328, 'VBP']"
larri,"[4.849498328, 'VBP']"
snuck,"[4.849498328, 'VBP']"
bright,"[4.849498328, 'VBN']"
construct,"[4.849498328, 'VBN']"
vest,"[4.849498328, 'VBG']"
corevalv,"[4.849498328, 'VB']"
instat,"[4.849498328, 'VB']"
retrain,"[4.849498328, 'VB']"
twelv,"[4.849498328, 'VB']"
comp,"[4.849498328, 'VB']"
trickl,"[4.849498328, 'VB']"
electrophysiolog,"[4.849498328, 'VB']"
remit,"[4.849498328, 'VB']"
discharg,"[4.849498328, 'VB']"
credit,"[4.845373233999999, 'VBD']"
strain,"[4.763038819, 'VBD']"
shave,"[4.752905583, 'VB']"
outweigh,"[4.739187093999998, 'VBP']"
crude,"[4.725091636, 'VBZ']"
big,"[4.725091636, 'VBP']"
sooth,"[4.725091636, 'VBN']"
camp,"[4.725091636, 'VBG']"
forgiv,"[4.725091636, 'VBG']"
tether,"[4.725091636, 'VBD']"
droop,"[4.725091636, 'VBD']"
trek,"[4.725091636, 'VB']"
land,"[4.725091636, 'VB']"
materialis,"[4.725091636, 'VB']"
expenditur,"[4.711894162999999, 'VBZ']"
insight,"[4.707792208, 'VBN']"
downsw,"[4.707792208, 'VBG']"
broadcast,"[4.688085074, 'VBN']"
enthusiasm,"[4.6064832, 'VBZ']"
vie,"[4.591537167, 'VBZ']"
vacuum,"[4.591537167, 'VBP']"
unresolv,"[4.591537167, 'VBN']"
sleep,"[4.591537167, 'VBG']"
cram,"[4.591537167, 'VBD']"
countersu,"[4.591537167, 'VBD']"
dictat,"[4.587719244999999, 'VBZ']"
juic,"[4.5842748879999995, 'VB']"
vendor,"[4.581625271, 'VBZ']"
drugstor,"[4.581625271, 'VBZ']"
sens,"[4.581625271, 'VBP']"
hustl,"[4.581625271, 'VBP']"
overblown,"[4.581625271, 'VBN']"
superconduct,"[4.581625271, 'VBG']"
repaid,"[4.581625271, 'VBD']"
compos,"[4.581625271, 'VBD']"
cheap,"[4.581625271, 'VB']"
seced,"[4.581625271, 'VB']"
catalyst,"[4.503816794, 'VBZ']"
purpos,"[4.503816794, 'VBZ']"
pot,"[4.503816794, 'VBZ']"
driver,"[4.503816794, 'VBZ']"
horsepow,"[4.503816794, 'VBP']"
pattern,"[4.503816794, 'VBP']"
starv,"[4.503816794, 'VBN']"
packag,"[4.503816794, 'VBN']"
hype,"[4.503816794, 'VBN']"
crunch,"[4.503816794, 'VBG']"
devot,"[4.503816794, 'VBG']"
polish,"[4.503816794, 'VBG']"
overachiev,"[4.503816794, 'VBG']"
outpric,"[4.503816794, 'VBG']"
stagger,"[4.503816794, 'VBG']"
unlabel,"[4.503816794, 'VBD']"
multithread,"[4.503816794, 'VBD']"
unreleas,"[4.503816794, 'VBD']"
gobbl,"[4.503816794, 'VBD']"
spice,"[4.503816794, 'VBD']"
grasp,"[4.503816794, 'VBD']"
kickstart,"[4.503816794, 'VB']"
preorder,"[4.503816794, 'VB']"
ev,"[4.503816794, 'VB']"
overinfl,"[4.503816794, 'VB']"
pooh,"[4.503816794, 'VB']"
leapfrog,"[4.503816794, 'VB']"
cater,"[4.503816794, 'VB']"
boot,"[4.503816794, 'VB']"
paint,"[4.501533706, 'VBD']"
yes,"[4.443951027000001, 'VB']"
cancel,"[4.4191830030000006, 'VBD']"
sidl,"[4.384667653, 'VBZ']"
vow,"[4.384667653, 'VBZ']"
charm,"[4.384667653, 'VBG']"
amaz,"[4.384667653, 'VBG']"
hassl,"[4.384667653, 'VBG']"
borrow,"[4.384667653, 'VB']"
admir,"[4.384667653, 'VB']"
factor,"[4.378029418000001, 'VBN']"
insid,"[4.354077504999999, 'VB']"
debit,"[4.31139179, 'VBZ']"
euro,"[4.31139179, 'VBZ']"
thorough,"[4.31139179, 'VBP']"
alongsid,"[4.31139179, 'VBP']"
bob,"[4.31139179, 'VBP']"
possibl,"[4.31139179, 'VBP']"
as,"[4.31139179, 'VBP']"
issuer,"[4.31139179, 'VBP']"
exposur,"[4.31139179, 'VBP']"
sail,"[4.31139179, 'VBN']"
unhedg,"[4.31139179, 'VBN']"
badg,"[4.31139179, 'VBN']"
enumer,"[4.31139179, 'VBN']"
drift,"[4.31139179, 'VBN']"
offshor,"[4.31139179, 'VBN']"
outbound,"[4.31139179, 'VBN']"
talent,"[4.31139179, 'VBN']"
predic,"[4.31139179, 'VBN']"
